,TotalEnergy,ConnectedTime,ChargeTime,MaxPower,Duration_newh,Started_datum,DagLabelKort,WeekNr,MaandLabelKort,Is_WerkDag,Is_Weekend
193,3140,0.8961,0.8961,3560,0.8961111111111111,2018-01-07,zo,1,jan,0,1
194,7500,2.6964,2.6964,3356,2.696388888888889,2018-01-07,zo,1,jan,0,1
195,570,0.18,0.18,3380,0.18,2018-01-07,zo,1,jan,0,1
196,3750,18.9028,2.6003,3360,18.90277777777778,2018-01-07,zo,1,jan,0,1
197,53010,13.35,6.1,13200,13.349444444444444,2018-01-07,zo,1,jan,0,1
198,29430,10.63,4.25,7200,10.6325,2018-01-07,zo,1,jan,0,1
199,5660,8.9956,4.0003,3356,8.995555555555555,2018-01-07,zo,1,jan,0,1
200,9277,9.21,3.7625,3223,9.21,2018-01-07,zo,1,jan,0,1
201,11426,9.4717,3.5003,3404,9.471666666666666,2018-01-08,ma,2,jan,1,0
202,11943,8.7989,3.7503,3391,8.79888888888889,2018-01-08,ma,2,jan,1,0
203,9599,7.2786,3.2869,3143,7.278611111111111,2018-01-08,ma,2,jan,1,0
204,7353,2.3986,2.3986,3269,2.3986111111111112,2018-01-08,ma,2,jan,1,0
205,2741,7.5058,1.4833,2310,7.505833333333333,2018-01-08,ma,2,jan,1,0
206,15780,1.3922,1.3922,11573,1.3922222222222222,2018-01-08,ma,2,jan,1,0
207,7531,2.2617,2.2617,3353,2.2616666666666667,2018-01-08,ma,2,jan,1,0
208,1104,2.2083,0.7503,2746,2.208333333333333,2018-01-08,ma,2,jan,1,0
209,9570,5.0708,4.0708,3240,5.070833333333334,2018-01-08,ma,2,jan,1,0
210,3330,0.97,0.97,3480,0.9705555555555556,2018-01-08,ma,2,jan,1,0
211,5560,25.1914,2.8333,3360,25.191388888888888,2018-01-08,ma,2,jan,1,0
212,8257,3.0236,2.4833,3528,3.0236111111111112,2018-01-08,ma,2,jan,1,0
213,6875,18.3164,3.1975,3237,18.316388888888888,2018-01-08,ma,2,jan,1,0
214,3010,15.3653,1.4967,2325,15.365277777777775,2018-01-08,ma,2,jan,1,0
215,1541,0.5156,0.5156,3102,0.5155555555555555,2018-01-08,ma,2,jan,1,0
216,1865,2.9336,0.7336,3516,2.933611111111111,2018-01-08,ma,2,jan,1,0
217,9443,17.3683,6.5003,3376,17.368333333333332,2018-01-08,ma,2,jan,1,0
218,171,2.7275,0.2314,739,2.7275,2018-01-08,ma,2,jan,1,0
219,12660,4.2344,4.2344,3580,4.234444444444445,2018-01-08,ma,2,jan,1,0
220,2232,0.6397,0.6397,3508,0.6397222222222222,2018-01-08,ma,2,jan,1,0
221,47890,11.5297,5.6317,10440,11.529722222222222,2018-01-08,ma,2,jan,1,0
222,5820,1.66,1.66,3560,1.658611111111111,2018-01-08,ma,2,jan,1,0
223,11945,15.9342,3.7608,3353,15.934166666666666,2018-01-08,ma,2,jan,1,0
224,24960,7.04,3.59,7200,7.0375,2018-01-08,ma,2,jan,1,0
225,6366,12.8056,2.5003,2712,12.805555555555555,2018-01-09,di,2,jan,1,0
226,11451,5.6922,3.5003,3400,5.692222222222222,2018-01-09,di,2,jan,1,0
227,7527,3.3781,2.7503,3052,3.378055555555556,2018-01-09,di,2,jan,1,0
228,1381,0.4594,0.4594,3127,0.4594444444444444,2018-01-09,di,2,jan,1,0
229,4049,8.3253,1.2003,3560,8.325277777777778,2018-01-09,di,2,jan,1,0
230,8339,2.9206,2.5003,3640,2.920555555555556,2018-01-09,di,2,jan,1,0
231,7090,2.3083,2.0703,3600,2.308333333333333,2018-01-09,di,2,jan,1,0
232,6810,4.26,2.6,2953,4.261666666666667,2018-01-09,di,2,jan,1,0
233,7350,7.6886,2.2128,3600,7.688611111111111,2018-01-09,di,2,jan,1,0
234,6310,10.6644,1.9167,3600,10.664444444444444,2018-01-09,di,2,jan,1,0
235,4062,1.2214,1.2047,3372,1.2213888888888889,2018-01-09,di,2,jan,1,0
236,13250,6.8744,3.9733,4440,6.874444444444444,2018-01-09,di,2,jan,1,0
237,6730,7.8389,1.9431,3520,7.838888888888889,2018-01-09,di,2,jan,1,0
238,5740,1.8478,1.8311,3124,1.8477777777777775,2018-01-09,di,2,jan,1,0
239,5980,1.8922,1.8922,3200,1.8922222222222225,2018-01-09,di,2,jan,1,0
